years,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
C America,0,0,0,0,0,0,0,0,0,0,0,0,2000,1800,2600,3000,2600,3000,3000,2800,2900,3600,3400,5000,5689,5074,6196,7536,9810,11239,11689,14683,12714,10703,12485,12338,9992,9715,10711,12378,15549,12848,13607,14244,13410,12987,12807,9082,9315,8553,8173,7356,7286,7870,8071,10047,10267,11852,11778,13148,12159,11753
S America,2600,3000,2700,3800,3200,3500,4900,5100,5500,5000,3800,3200,2200,3400,2900,2700,3100,3500,3700,4100,3500,3900,3700,4200,4088,4045,4080,4576,4886,4192,5005,6499,9585,7005,9825,11983,14280,11744,11523,10292,13428,15595,15926,16863,15104,15993,18467,16777,13539,10774,11804,14130,16332,21834,19909,19947,17338,17701,17514,17995,18821,12732
Australia & NZ,700,800,600,600,1100,1000,1200,1400,1500,1500,1500,1400,1600,1500,1500,1500,1400,1300,1300,1300,2000,2500,2000,1300,1469,1176,1713,2002,816,1511,3149,3768,3798,4958,5945,5431,3945,3314,3612,3317,3976,3716,4043,4253,4759,7009,6471,8200,7876,9063,9475,9315,9538,9734,8942,9899,8601,9643,9331,9600,9872,9160
S Europe,10600,9800,8100,9800,8800,8900,10700,12300,12100,13900,13600,12600,3300,4000,4400,4100,3800,4000,4300,3900,900,1504,953,1400,1250,1977,1819,2223,1452,1908,2583,2978,3949,3807,4277,6090,5202,3905,4475,4167,9293,9100,11221,12549,15583,23115,8297,53559,42349,44161,55577,53326,40623,38381,41564,39258,43083,47761,53331,59218,78314,88124
W Europe,0,100,100,100,200,200,300,300,400,300,500,800,600,800,800,800,1000,700,500,800,300,300,200,500,172,218,182,80,4355,8201,5575,4951,7900,9181,6834,6841,9236,7699,8724,7148,7414,7879,9088,9400,9515,9052,9053,8992,8488,9669,11381,11633,8851,7677,7599,7363,6774,7132,6282,6546,6734,5721
N Europe,2700,1700,900,800,1300,1000,1100,1100,700,1600,2200,10200,6308,11001,10108,6300,8300,8810,8000,15200,19386,8700,7200,11200,10846,18425,7686,8041,7944,11603,8299,4404,5269,4059,4713,3327,2605,548,835,1540,2314,2302,5133,4672,4152,4743,5691,6521,4682,3553,1994,4763,3807,6449,5919,2751,3269,2397,1945,2059,1448,1664
N Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,103,953,1280,991,776,679,73,912,88,99,826,1027,1097,1158,1110,917,1165,1199,1366,8906,8627,4885
S Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,21,0,100,910,408,2313,3172,4794,4530,2328,1971,3060,3658
W Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,88,80,91,95,88,203,290,417,1664,1631,2633,1737,1182,2679,2383,3246,2037,1167,3336,2170
E Asia,10000,10000,11200,8700,5900,6900,8800,7200,7900,5800,6000,6500,7500,7100,4300,4200,3500,800,0,0,800,300,300,200,325,425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,420,600,0,0,0,1611,4720,6270,6573,7631
S Asia,4800,4800,5700,6300,5700,6800,5600,10200,5500,5700,11600,10500,14800,16000,21000,22000,30800,35700,34000,35000,36200,33800,44400,57200,33079,32172,34047,42817,40313,42291,34345,34093,30681,22527,20853,26442,26651,27501,30757,29806,35027,40675,42300,51821,57623,55789,57342,61264,60934,66292,57629,45072,43752,39424,37762,29163,26586,21602,19965,17184,17625,18685
SE Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,43306,55938,57440,43625,45832,46100,50214
W Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,300,700,200,100,659,0,27,12,6,7,5,612,240,105,27,8,8,168,86,27,59,25,34,17,13,13,15,31,42,15,140,70,60,20,18,25,128,60,95,38,78,56,33,27
N America,1945,1499,1850,1405,1158,1109,1108,1614,2932,2524,1549,1105,931,1065,1607,1479,1372,891,511,763,762,452,0,0,994,668,3210,3147,3523,8771,7601,8343,8805,6542,2765,5258,5053,6404,4593,5851,16303,15653,19328,22829,21060,24185,29786,21039,22343,16208,3255,1516,1316,847,2166,1719,1597,1722,798,1458,1665,1850
E Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,15,13,17,38,130,110,144,123,16,399,651,547,654,633,896,1070
M Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,6,1,0,240,164,164,260,541,430,497,172,237,253,196,202,202,260,220,250,300,300,400,912,1190,1050,987,1125,1714,1187,1011,876,693,1006,2019
Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,5000,2436,3950,8827,4924,10792,23302,14241,20444,22331,16681,6942,577,105,351,516,27,359,291,694,214,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,33345,31699,31150,31505,27358,29409,33708,39214,36532,36324,40749,46305,39239,46666,49215,46267,60872,66837,59561,73390,71872,65948,86118,95241,78383,86523,75626,77375,73690,90434,78844,80580,82919,69350,68267,79186,77711,71477,75884,75795,103976,109149,122286,137946,142361,153904,148385,186892,170394,169329,163287,152055,137819,137443,138248,172508,183881,190519,177332,193023,216494,222589
